Done? (Y),Company/Organization,Test Name,Select,*URL,Test Type (Lab or Kit),Country of Origin,US Regulatory Status,Category,Authorized Setting(s) per FDA,Technology,Analyte,Assay,Specimen Type,Transport Media,Gene,Antigen,Sample Prep,Detection,TAT,Analytical Sensitivity (LOD),LOD of FDA Reference Panel (NDU/mL),Cross- Reactivity,PPA/Sensitivity,PPA Sample Size,PPA Specimen Type,NPA/Specificity,NPA Sample Size,NPV @ 5% prevalence,PPV@ 5% prevalence,Manufacturer's Validation Notes,External Quality Control,Process (internal) Control,Positive Control,*Publications,*IFU,*Letter of Authorization (EUA),Creation Date,Modified Date,,,Needs Review
,Quanterix Corporation,Simoa SARS-CoV-2 N Protein Antigen Test,,,Kit,USA,"EUA granted January 05, 2021",Laboratory,"H, M",Antigen Paramagnetic Microbead-based Immunoassay,Antigen,,NP swab,,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144929/download,https://www.fda.gov/media/144925/download,,,,,
,"Nirmidas Biotech, Inc.",MidaSpot COVID-19 Antibody Combo Detection Kit,,,Kit,USA,"EUA granted December 31, 2020","Laboratory, POC","H, M, W",Serology,"IgM, IgG","Lateral Flow, Fingerstick Whole Blood","Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144877/download,https://www.fda.gov/media/144874/download,,,,,
,Cepheid,Xpert Xpress SARS-CoV-2 DoD ,,,Kit,USA,"EUA granted December 23, 2020","Laboratory, POC","H, M, W",Molecular,RNA,"rRT-PCR, Pooling","NP swab, OP swab, MTNs swab, Ns swab, Ns wash, Ns aspirate",,,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144790/download,,,,,
,Quanterix Corporation,Simoa Semi-Quantitative SARS-CoV-2 IgG Antibody Test ,,,Kit,USA,"EUA granted December 23, 2020",Laboratory,"H, M",Serology,IgG,ELISA,"Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144764/download,https://www.fda.gov/media/144761/download,,,,,
,Quidel Corporation,Solana SARS-CoV-2 Assay ,,,Kit,USA,"EUA granted December 23, 2020",Laboratory,"H, M","Molecular Isothermal Reverse Transcriptase – Helicase-Dependent 
Amplification (RT-HDA)",RNA,,"NP swab, Ns swab",,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144759/download,https://www.fda.gov/media/144756/download,,,,,
,Siemens Healthcare Diagnostics Inc.,ADVIA Centaur IL6 assay ,,,Kit,USA,"EUA granted December 18, 2020",Laboratory,"H, M",One-step Direct Chemiluminescent Immunoassay,,,"Ser, Pla",,,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144672/download,https://www.fda.gov/media/144669/download,,,,,
,Quidel Corporation,QuickVue SARS Antigen Test ,,,Kit,Germany,"EUA granted December 18, 2020","Laboratory, POC","H, M, W","Antigen Lateral Flow, Visual Read",Antigen,,"ANs swab, Ns swab",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144668/download,https://www.fda.gov/media/144665/download,,,,,
,"Materials and Machines Corporation of America (DBA MatmaCorp, Inc.)",MatMaCorp COVID-19 2SF Test ,,,Kit,,"EUA granted December 17, 2020",Laboratory,H,Molecular ,RNA,"RT-PCR, isothermal amplification","NP swab, ANs swab, MTNs swab",,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144659/download,https://www.fda.gov/media/144656/download,,,,,
,"Hologic, Inc.",Aptima SARS-CoV-2/Flu assay ,,,Kit,USA,"EUA granted December 16, 2020",Laboratory,H,"Molecular Real-time TMA, chemiluminescent, Multi-analyte",RNA,,"NP swab, MTNs swab, Ns swab",,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144590/download,https://www.fda.gov/media/144587/download,,,,,
,"Abbott Diagnostics Scarborough, Inc.",BinaxNOW COVID-19 Ag Card Home Test ,,,,USA,"EUA granted December 16, 2020","Laboratory, POC","H, M, W","Antigen Lateral Flow, Visual Read, Prescription Home Testing",Antigen,,Ns swab,,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144576/download,,,,,
,"ACON Laboratories, Inc.",ACON SARS-CoV-2 IgG/IgM Rapid Test ,,,Kit,USA,"EUA granted December 15, 2020",Laboratory,"H, M",Serology ,"IgM, IgG",Lateral Flow,"Ser, Pla, VWB",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144562/download,https://www.fda.gov/media/144559/download,,,,,
,"ResearchDx, Inc., DBA Pacific Diagnostics",PacificDx Covid-19 ,,,,,"EUA granted December 11, 2020",Laboratory,H,"Molecular TMA, chemiluminescent, Home Collection",RNA,,"NP swab, OP swab, MTNs swab, Ns swab",,,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144555/download,,,,,
,RCA Laboratory Services LLC dba GENETWORx,GENETWORx Covid-19 Nasal Swab Test ,,,,USA,"EUA granted December 15, 2020",Laboratory,H,"Molecular Real-time RT-PCR, Home Collection",RNA,,Ns swab,,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144554/download,https://www.fda.gov/media/144550/download,,,,,
,Ellume Limited,Ellume COVID-19 Home Test ,,,,Australia,"EUA granted December 16, 2020","Laboratory, POC, Home","Home, H, M, W","Antigen Lateral Flow, Fluorescence, Instrument Read, Over the Counter Home 
Testing",Antigen,,"MTNs swab, Ns swab",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144592/download,https://www.fda.gov/media/144457/download,,,,,
,Laboratory Corporation of America (LabCorp),Pixel by LabCorp COVID-19 Test Home Collection Kit ,,,Kit,,"EUA granted December 09, 2020",Laboratory,H,"Molecular Direct to Consumer (DTC), Real-time RT-PCR, Home Collection, 
Pooling, Screening",RNA,,"NP swab, OP swab, MTNs swab, Ns swab",,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/137154/download,https://www.fda.gov/media/144333/download,,,,,
,"Luminostics, Inc.",Clip COVID Rapid Antigen Test,,https://luminostics.com/,Kit,USA,"EUA granted December 07, 2020","Laboratory, POC","H, M, W",Antigen,Antigen,Lateral flow immunoluminescent assay,ANs swab,NA,NA,N,RNA extraction: Luminostics Extraction Tube,Luminostics Clip Analyzer,30 minutes after sample loading,0.88 x102 TCID50 per mL,,No cross-reactivity predicted in silico nor detected in wet lab testing,96.88%,32,Clinical,100.00%,134,,,"PPA determined with 32 positive clinical Ns specimens collected from symptomatic individuals within 5 days of symptom onset at two undisclosed sites in the United States between late August and early October 2020 (positive determination made using patient-matched NP swabs collected concurrently with the Ns specimens transported in VTM and tested with an undisclosed EUA-authorized RT-PCR assay that includes a solid phase RNA extraction step at an undisclosed central laboratory; positive samples included 1 RT-PCR positive sample from an individual aged 6 to 21 years old and 31 RT-PCR positive samples from individuals aged 22 to 59 years old). 
NPA determined with 134 negative clinical Ns specimens collected from symptomatic individuals within 5 days of symptom onset at two undisclosed sites in the United States between late August and early October 2020 (negative determination made using patient-matched NP swabs collected concurrently with the Ns specimens transported in VTM and tested with an undisclosed EUA-authorized RT-PCR assay that includes a solid phase RNA extraction step at an undisclosed central laboratory; negative samples included 10 RT-PCR negative samples from individuals aged 6 to 21 years old, and 116 RT-PCR negative samples from individuals aged 22 to 59 years old, and 8 RT-PCR negative samples from individuals aged 60 years and older). 
Total and RT-PCR positive samples also stratified separately by days post symptom onset. Note that all Ns samples in study were tested with Clip COVID Rapid Antigen Test by 18 intended users with no laboratory training using only the package insert.",included,included,included,ND,https://www.fda.gov/media/144256/download,https://www.fda.gov/media/144253/download,,,,,
,"Quest Diagnostics Infectious Disease, Inc.",Quest Diagnostics RC COVID-19+Flu RT-PCR ,,,,USA,"EUA granted December 04, 2020",Laboratory,H,"Molecular Real-time RT-PCR, Multi-analyte, Home Collection",RNA,,,,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144179/download,https://www.fda.gov/media/144180/download,,,,,
,"Innovita (Tangshan) Biological Technology Co., Ltd.",Innovita 2019-nCoV Ab Test (Colloidal Gold) ,,,Kit,China,"EUA granted November 23, 2020",Laboratory,"H, M",Serology,"IgM, IgG",Lateral Flow,"Ser, Pla, VWB",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144071/download,https://www.fda.gov/media/144068/download,,,,,
,"Roche Diagnostics, Inc.",Elecsys Anti-SARS-CoV-2 S ,,,Kit,USA,"EUA granted November 25, 2020",Laboratory,"H, M","Serology Total Antibody, ECLIA, Semi-quantitative",,,"Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144037/download,https://www.fda.gov/media/144034/download,,,,,
,Cepheid,Xpert Omni SARS-CoV-2 ,,,Kit,USA,"EUA granted November 27, 2020",Laboratory,"H, M",Molecular ,RNA,Real-time RT-PCR,"NP swab, OP swab, MTNs swab, Ns swab, Ns wash, Ns aspirate",,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144033/download,https://www.fda.gov/media/144029/download,,,,,
,"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT PCR CE Test,,https://dxterity.com/sars-cov-2-test-covid-19/,Lab,USA,"EUA granted August 28, 2020",Laboratory,H,"Molecular, Home Collection",RNA,"epRT-PCR, Capillary Electrophoresis",Sal,Spectrum Solutions LLC SDNA-1000 Saliva Collection Device,"N, E, ORF1ab",NA,"Extraction: GE Healthcare Sera-Mag SpeedBeads Carboxyl Magnetic Beads on the ABI MagMax 96 Magnetic Particle Processor
Amplification: ThermoFisher Scientific TaqPath 1-Step Multiplex Master Mix (No ROX) on the ABI VeritiDx PCR Thermal Cycler",ABI 3500xL Dx Genetic Analyzer (Data Collection Software Version 3.2),24 - 48 hours for result from lab,50 copies/mL,,No cross-reactivity predicted in silico,94.62%,93,Clinical and contrived,98.47%,588,,,"PPA determined with 
1) contrived specimens consisting of 30 negative saliva specimens collected with the Spectrum Solutions SDNA-1000 Saliva Collection Device (specimen provenance not disclosed; method of negative determination not disclosed) spiked with quantified SARS-CoV-2 genomic RNA (BEI Resources) and tested with all four Primer Mixes before combination of amplicons for analysis on the Genetic Analyzer (results from each primer mix are shown),
2) 37 positive clinical saliva specimens collected with the Spectrum Solutions SDNA-1000 Saliva Collection Device from symptomatic individuals (specimens collected at multiple undisclosed sites; positive determination made on sample-matched NP swabs collected within an hour of their respective saliva specimens and tested with the EUA authorized Roche cobas SARS-CoV-2 test at the Med Fusion Quest Laboratory (Lewisville, TX); 97.3% (36/37) positive agreement for this subgroup), and 
3) 26 positive clinical saliva specimens collected with the Spectrum Solutions SDNA-1000 Saliva Collection Device from asymptomatic individuals suspected of COVID-19 by their healthcare provider (specimens collected at multiple undisclosed sites; positive determination made on sample-matched NP swabs collected  within an hour of their respective saliva specimens and tested with the EUA authorized Roche cobas SARS-CoV-2 test at the Med Fusion Quest Laboratory (Lewisville, TX); 84.6% (22/26) positive agreement for this subgroup).
Note that a comparison was also made for low viral load in positive results from symptomatic (11/37) and asymptomatic (9/26) individuals.  

NPA determined with 
1) 30 individual negative saliva specimens collected with the Spectrum Solutions SDNA-1000 Saliva Collection Device (specimen provenance not disclosed; method of negative determination not disclosed) and tested with all four Primer Mixes before combination of amplicons for analysis on the Genetic Analyzer (results from each primer mix are shown),
2) 40 negative clinical saliva specimens collected with the Spectrum Solutions SDNA-1000 Saliva Collection Device from symptomatic individuals (specimens collected at multiple undisclosed sites; negative determination made on sample-matched NP swabs collected within an hour of their respective saliva specimens and tested with the EUA authorized Roche cobas SARS-CoV-2 test at the Med Fusion Quest Laboratory (Lewisville, TX); 90% (36/40) positive agreement for this subgroup), and 
3) 518 negative clinical saliva specimens collected with the Spectrum Solutions SDNA-1000 Saliva Collection Device from asymptomatic individuals suspected of COVID-19 by their healthcare provider (specimens collected at multiple undisclosed sites; negative determination made on sample-matched NP swabs collected within an hour of their respective saliva specimens and tested with the EUA authorized Roche cobas SARS-CoV-2 test at the Med Fusion Quest Laboratory (Lewisville, TX); 99% (513/518) negative agreement for this subgroup).

Also conducted studies on competitive intereference, carryover and cross-contamination, simulated shipping, sample volume tolerance, and human usability. ",included,included,included,ND,https://www.fda.gov/media/141669/download,https://www.fda.gov/media/141666/download,,,,,
,"Kantaro Biosciences, LLC","COVID-SeroKlir, Kantaro Semi-Quantitative SARS-CoV-2 IgG Antibody Kit",,,Kit,USA,"EUA granted November 24, 2020",Laboratory,H,"Serology IgG, ELISA, Semi-quantitative",IgG,,"Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/144010/download,https://www.fda.gov/media/144007/download,,,,,
,"Gravity Diagnostics, LLC",Gravity Diagnostics SARS-CoV-2 RT-PCR Assay,,,Lab,USA,"EUA granted November 23, 2020",Laboratory,H,"Molecular Real-time RT-PCR, Home Collection, Screening, Saliva",RNA,,"NP swab, OP swab, Ns swab",,,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/143932/download,,,,,
,"RapidRona, Inc.",RapidRona Self-Collection Kit,,,Lab,USA,"EUA granted November 23, 2020",,N/A,Home Collection Kit,RNA,,Ns swab,,NA,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/143929/download,https://www.fda.gov/media/143927/download,,,,,
,"Lucira Health, Inc.",Lucira COVID-19 All-In-One Test Kit ,,https://www.lucirahealth.com/,Kit,USA,"EUA granted November 18, 2020",POC,W,"Molecular, Prescription Home Testing",RNA,RT-LAMP,Ns swab,NA,N,NA,Lucira Health Sample Vial with Elution Buffer,Lucira Health Test Unit,~30 minutes after sample loading,2700 cp/swab (~900 cp/mL in 3 mL of VTM assuming 100% elution efficiency),,No cross-reactivity predicted in silico nor detected in wet lab testing,94.12%,51,Clinical,98.00%,50,,,"PPA determined with 51 clinical positive Ns specimens self-collected from symptomatic individuals suspected of COVID-19 and tested outside their residence (positive determination made on samples of an undisclosed specimen type collected concurrently with the Ns specimens and run in clinical laboratories with an undisclosed high sensitivity molecular FDA Authorized SARS-CoV-2 assay).  
NPA determined with 50 clinical negative Ns specimens self-collected from symptomatic individuals suspected of COVID-19 and tested outside their residence (negative determination made on samples of an undisclosed specimen type collected concurrently with the Ns specimens and run in clinical laboratories with an undisclosed high sensitivity molecular FDA Authorized SARS-CoV-2 assay).  
Also conducted studies on microbial interference, reproducibility of contrived samples with analyte concentrations near LoD, and a flex test of robustness of anticipated variability in test conditions/environments (sample mixing, contamination, battery removal, device movement, unlevel surfaces, and storage of packaged devices).",not included,included,not included,ND,https://www.fda.gov/media/143808/download,https://www.fda.gov/media/143810/download,,,,,
,GenScript USA Inc.,cPass SARS-CoV-2 Neutralization Antibody Detection Kit ,,,Kit,USA,"EUA granted November 06, 2020",Laboratory,H,Serology ,,ELISA,"Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/143583/download,https://www.fda.gov/media/143584/download,,,,,
,"Quansys Biosciences, Inc.",Q-Plex SARS-CoV-2 Human IgG (4 Plex),,,Kit,USA,"EUA granted October 28, 2020",Laboratory,H,Serology ,IgG,,"Ser, Pla",,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/143452/download,https://www.fda.gov/media/143453/download,,,,,
,DNA Genotek Inc.,ORAcollect∙RNA OR-100 and ORAcollect∙RNA ORE-100 saliva collection devices ,,,,Canada,"EUA granted October 28, 2020",,N/A,Saliva Collection Device,NA,,Sal,,NA,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/143415/download,,,,,
,"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,,,Kit,USA,"EUA granted October 26, 2020",Laboratory,H,Molecular,RNA,"RT-PCR, MALDI-TOF  ","NP swab, OP swab, MTNs swab, Ns swab, NP aspirate, Ns aspirate, BAL",,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/143334/download,https://www.fda.gov/media/143331/download,,,,,
,"Celltrion USA, Inc.",Sampinute COVID-19 Antigen MIA,,,Kit,USA,"EUA granted October 23, 2020",Laboratory,"H, M",Antigen ,Antigen,Magnetic Force-assisted Electrochemical Sandwich Immunoassay (MESIA),NP swab,,NA,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/143270/download,https://www.fda.gov/media/143267/download,,,,,
,"binx health, Inc.",binx health At-Home Nasal Swab COVID-19 Sample Collection Kit ,,,Lab,USA,"EUA granted October 20, 2020",,N/A,Home Collection Kit,RNA,,Ns swab,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,,https://www.fda.gov/media/143186/download,https://www.fda.gov/media/143183/download,,,,,
,"Clinical Enterprise, Inc.",EmpowerDX At-Home COVID-19 PCR Test Kit,,,Lab,USA,"EUA granted October 15, 2020",,N/A,Home Collection Kit,RNA,,Ns swab,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,,https://www.fda.gov/media/143065/download,https://www.fda.gov/media/143063/download,,,,,
,DNA Genotek Inc.,OMNIgene·ORAL OM-505 and OME-505 (OMNIgene·ORAL) saliva collection devices ,,https://www.dnagenotek.com/US/products/collection-microbiome/omnigene-oral/OM-505.html,Collection,Canada,"EUA granted October 14, 2020",POC,N/A,Saliva Collection Kit,RNA,N/A,Sal,Kit stabilizing solution,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,ND,https://www.fda.gov/media/143420/download,https://www.fda.gov/media/143418/download,,,,,
,LumiraDx UK Ltd.,LumiraDx SARS-CoV-2 RNA STAR Complete,,https://www.lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions/rna-star-test,Kit,UK,"EUA granted October 14, 2020",Laboratory,H,Molecular ,RNA,RT with qSTAR amplification,"OP swab, MTNs swab, Ns swab, NP swab","UTM, VTM, BD Universal Viral Transport, PBS, saline, Puritan UniTranz-RT Transport System",ORF1ab,NA,"LumiraDx SARS-CoV-2 RNA STAR extraction buffer, LumiraDx SARS-CoV-2 RNA STAR master mix ","Roche LightCycler 480 II (software version SW 1.5.1), ABI 7500 Fast Dx (software version 1.4.1), ABI QuantStudio 5 (software version 1.5.1), Agilent AriaMx (software version 1.71), Agilent Stratagene Mx3005P (software version 4.10)",20 min,7.5 copy/μL ,,No cross-reactivity predicted in silico,97.78%,45,Clinical,98.46%,65,,,"PPA determined with 45 clinical NP and Ns swabs confirmed positive with an undisclosed EUA-approved molecular test, randomized and tested in a blind study. 
NPA determined with 65 clinical NP and Ns swabs confirmed negative with an undisclosed EUA-approved molecular test, randomized and tested in a blind study. 
16 of the NP swabs were collected in VTM and 94 NP swabs were “dry swabs” expressed in Corning VTM. Samples were processed with the LumiraDx SARS-CoV-2 RNA STAR Complete test
using the Stratagene Mx3005P (software version 4.10). 
Additional experiments demonstrated comparable results when performed on the Roche LightCycler 480 II, Applied Biosystems 7500 Fast Dx, Applied Biosystems QuantStudio 5, Agilent AriaMx and Stratagene Mx3005P.",included,included,included,ND,https://www.fda.gov/media/143062/download,https://www.fda.gov/media/143059/download,,,,,
,Abbott Laboratories Inc.,AdviseDx SARS-CoV-2 IgM ,,https://www.corelaboratory.abbott/us/en/offerings/segments/infectious-disease/sars-cov-2,Kit,USA,"EUA granted October 09, 2020",Laboratory,"H, M",Serology,IgM,Chemiluminescent microparticle immunoassay (CMIA),"Pla, Ser","Dipotassium EDTA, tripotassium EDTA, lithium heparin, lithium heparin in separator tube, sodium heparin, serum separator tube",NA,S,Manual,"ARCHITECT i 1000SR system, ARCHITECT i 2000SR system, Alinity i System.",29 min,NA,,"No cross reactivity detected in wet lab testing of 142 different antibody types, 1 out of 5 samples with antibodies to Rheumatoid Factor had a positive result, out of a total 143 different cross-reactions tested",95% for both Architect and Alinity i,40 for both Architect and Alinity i,Clinical,99.6%  for both Architect and Alinity i,2965 for Architect and 2985 for Alinity i,,,"PPA  determined with 40 clinical frozen serum and plasma specimens collected from patients with COVID-19 symptoms, purchased from undisclosed medical institutions and  confirmed positive with an undisclosed EUA-approved molecular test. Specimens from immunocompromised subjects were not included in the analysis. Results were identical using the Architect and the Aliniti i systems. 
NPA determined with 2965 (Architect) and 2985 (Aliniti i) clinical frozen serum and plasma specimens collected from unique study subjects prior to September 2019 (pre-COVID-19 outbreak) and assumed to be negative. 
All specimens tested were assayed using one lot of the AdviseDx SARS-CoV-2 IgM Reagent Kit, one lot of the AdviseDx SARS-CoV-2 IgM Calibrator Kit, and one lot of the AdviseDx SARS-CoV-2 IgM Control Kit on one Alinity i instrument and on one Architect instrument. ",not included,not included,not included,https://jcm.asm.org/content/58/8/e00941-20,"https://www.fda.gov/media/142940/download 
https://www.fda.gov/media/142941/download",https://www.fda.gov/media/142937/download,,,,,
,"Access Bio, Inc.",CareStart COVID-19 Antigen test ,,https://accessbiodiagnostics.net/carestart-covid-19-antigen/,Kit,USA,"EUA granted October 08, 2020","Laboratory, POC","H, M, W",Antigen ,Antigen,Lateral Flow,NP swab,VTM,NA,N,Manual,Colorimetric with visual read,10 min,"8 x 100 TCID50/mL for direct NP swabs
6.4 x 1000 TCID50/mL for NP swabs in VTM",,"No cross-reactivity detected in wet lab testing, possible cross-reactivity predicted in silico for human coronavirus HKU1",87.70%,49,Clinical,100.00%,80,,,"PPA determined with 49 clinical samples consisting of 43 positive NP swabs collected from symptomatic patients in several undisclosed US locations and tested retrospectively, and 6 NP or nasal swabs tested in a multi-site prospective study in the US and confirmed positive using an undisclosed EUA-approved molecular assay. 
NPA determined with 80 clinical samples consisting of 63 negative NP swabs collected from patients in several undisclosed US locations and tested retrospectively, and 17 NP or nasal swabs tested in a multi-site prospective
study in the US, and confirmed negative using an undisclosed EUA-approved molecular assay.
Tests were performed blinded by minimally trained operators representative of the intended users. 
In addition, 20 contrived samples were tested, including 10 negatives (zero analyte in Ns swab VTM) and 10 positives (near the Limit of Detection at 2x LoD) prepared using the inactivated SARS-CoV-2 isolate USA-WA1/2020 spiked into Ns swab in VTM. There was 100% agreement between positive contrived samples and negative samples compared to expected results. ",included,included,included,ND,https://www.fda.gov/media/142919/download,https://www.fda.gov/media/142916/download,,,,,
,"Beckman Coulter, Inc.",Access SARS-CoV-2 IgM,,https://www.beckmancoulter.com/products/immunoassay/access-sars-cov-2-igm-antibody-test,Kit,USA,"EUA granted October 08, 2020",Laboratory,"H, M",Serology ,IgM,Heterogeneous Immunoassay (CLIA),"Pla, Ser","serum separator tube, lithium heparin, dipotassium EDTA, tripotassium EDTA, sodium citrate",NA,S1,Manual,"Fully automated Access Family of Immunoassay Analyzers Access 2, UniCel DxI 600, UniCel DxI 800, integrated chemistry/immunoassay platforms UniCel DxC 600i, UniCel DxC 680i, UniCel DxC 880i, UniCel DxC 660i, UniCel DxC 860i.",1h,NA,,Cross-reactivity detected in wet lab testing against Anti-Hepatitis C Virus (1/16 samples) and Rheumatoid Factor (RF) IgM (1/14 samples),96.70%,151,Clinical,99.90%,1400,,,"PPA determined with 151 clinical serum and plasma specimens from symptomatic subjects diagnosed with SARS-CoV-2 using undisclosed molecular tests from France and the United States.
NPA determined with 1,400 clinical specimens collected prior to December 2019 in France and the United States and presumed negative. This total includes 1,000 samples from blood donors in France and 200 samples each from routine clinical laboratory diagnostic samples in France and the United States.",not included,not included,not included,ND,https://www.fda.gov/media/142911/download,https://www.fda.gov/media/142908/download,,,,,
